cohort_month,month_offset,cohort_size,customers_active,retention_pct
2010-12,7,76,7,9.21
2010-12,8,76,4,5.26
2010-12,9,76,2,2.63
2010-12,10,76,7,9.21
2010-12,11,76,15,19.74
2010-12,12,76,2,2.63
2011-01,0,72,72,100.0
2011-01,1,72,12,16.67
2011-01,2,72,16,22.22
2011-01,3,72,14,19.44
2011-01,4,72,16,22.22
2011-01,5,72,11,15.28
2011-01,6,72,11,15.28
2011-01,7,72,9,12.5
2011-01,8,72,8,11.11
2011-01,9,72,15,20.83
2011-01,10,72,18,25.0
2011-01,11,72,8,11.11
2011-02,0,125,125,100.0
2011-02,1,125,20,16.0
2011-02,2,125,20,16.0
2011-02,3,125,23,18.4
2011-02,4,125,27,21.6
2011-02,5,125,20,16.0
2011-02,6,125,20,16.0
2011-02,7,125,19,15.2
2011-02,8,125,19,15.2
2011-02,9,125,23,18.4
2011-02,10,125,8,6.4
2011-03,0,179,179,100.0
2011-03,1,179,32,17.88
2011-03,2,179,39,21.79
2011-03,3,179,36,20.11
2011-03,4,179,40,22.35
2011-03,5,179,27,15.08
2011-03,6,179,37,20.67
2011-03,7,179,36,20.11
2011-03,8,179,43,24.02
2011-03,9,179,17,9.5
2011-04,0,106,106,100.0
2011-04,1,106,26,24.53
2011-04,2,106,21,19.81
2011-04,3,106,21,19.81
2011-04,4,106,19,17.92
2011-04,5,106,25,23.58
2011-04,6,106,19,17.92
2011-04,7,106,27,25.47
2011-04,8,106,12,11.32
2011-05,0,111,111,100.0
2011-05,1,111,26,23.42
2011-05,2,111,27,24.32
2011-05,3,111,18,16.22
2011-05,4,111,24,21.62
2011-05,5,111,23,20.72
2011-05,6,111,29,26.13
2011-05,7,111,13,11.71
2011-06,0,108,108,100.0
2011-06,1,108,25,23.15
2011-06,2,108,23,21.3
2011-06,3,108,29,26.85
2011-06,4,108,22,20.37
2011-06,5,108,30,27.78
2011-06,6,108,9,8.33
2011-07,0,101,101,100.0
2011-07,1,101,21,20.79
2011-07,2,101,30,29.7
2011-07,3,101,28,27.72
2011-07,4,101,35,34.65
2011-07,5,101,16,15.84
2011-08,0,106,106,100.0
2011-08,1,106,28,26.42
2011-08,2,106,32,30.19
2011-08,3,106,28,26.42
2011-08,4,106,18,16.98
2011-09,0,188,188,100.0
2011-09,1,188,51,27.13
2011-09,2,188,71,37.77
2011-09,3,188,28,14.89
2011-10,0,221,221,100.0
2011-10,1,221,70,31.67
2011-10,2,221,35,15.84
2011-11,0,191,191,100.0
2011-11,1,191,27,14.14
2011-12,0,28,28,100.0
