month,StockCode,description,product_revenue,units_sold,revenue_rank
2010-12,22188,BLACK HEART CARD HOLDER,5157.79,2153,8
2010-12,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,4770.0,1848,9
2010-12,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,4596.45,1691,10
2011-01,23166,MEDIUM CERAMIC TOP STORAGE JAR,77183.6,74215,1
2011-01,85123A,WHITE HANGING HEART T-LIGHT HOLDER,14962.05,5461,2
2011-01,22423,REGENCY CAKESTAND 3 TIER,10765.5,946,3
2011-01,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,6840.45,3240,4
2011-01,79321,CHILLI LIGHTS,5737.67,1369,5
2011-01,22470,HEART OF WICKER LARGE,5490.24,1752,6
2011-01,48185,DOORMAT FAIRY CAKE,5034.9,742,7
2011-01,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,4899.3,1078,8
2011-01,22469,HEART OF WICKER SMALL,4898.68,2828,9
2011-01,21733,RED HANGING HEART T-LIGHT HOLDER,4787.3,1586,10
2011-02,22423,REGENCY CAKESTAND 3 TIER,9559.65,839,1
2011-02,21623,VINTAGE UNION JACK MEMOBOARD,6810.39,1047,2
2011-02,85099B,JUMBO BAG RED RETROSPOT,5191.05,2971,3
2011-02,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4912.65,1823,4
2011-02,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,3799.11,3795,5
2011-02,47566,PARTY BUNTING,3476.9,810,6
2011-02,22053,EMPIRE DESIGN ROSETTE,3302.92,3986,7
2011-02,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,3068.85,659,8
2011-02,79321,CHILLI LIGHTS,3042.45,619,9
2011-02,22189,CREAM HEART CARD HOLDER,2972.33,1171,10
2011-03,22423,REGENCY CAKESTAND 3 TIER,14784.65,1295,1
2011-03,85099B,JUMBO BAG RED RETROSPOT,8496.88,4924,2
2011-03,47566,PARTY BUNTING,6129.15,1357,3
2011-03,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5262.5,1918,4
2011-03,85099F,JUMBO BAG STRAWBERRY,4910.17,2839,5
2011-03,22386,JUMBO BAG PINK POLKADOT,4691.07,2715,6
2011-03,84879,ASSORTED COLOUR BIRD ORNAMENT,3997.98,2502,7
2011-03,22960,JAM MAKING SET WITH JARS,3802.5,966,8
2011-03,21621,VINTAGE UNION JACK BUNTING,3738.26,492,9
2011-03,22084,PAPER CHAIN KIT EMPIRE,3653.55,1309,10
2011-04,22423,REGENCY CAKESTAND 3 TIER,12721.5,1098,1
2011-04,85123A,WHITE HANGING HEART T-LIGHT HOLDER,9581.65,3725,2
2011-04,47566,PARTY BUNTING,7278.45,1611,3
2011-04,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,6610.8,3142,4
2011-04,22084,PAPER CHAIN KIT EMPIRE,6423.5,2386,5
2011-04,48185,DOORMAT FAIRY CAKE,4802.75,745,6
2011-04,21175,GIN + TONIC DIET METAL SIGN,4602.62,2506,7
2011-04,85099B,JUMBO BAG RED RETROSPOT,4141.78,2211,8
2011-04,84879,ASSORTED COLOUR BIRD ORNAMENT,3886.72,2368,9
2011-04,22087,PAPER BUNTING WHITE LACE,3193.65,1187,10
2011-05,47566,PARTY BUNTING,13408.25,3015,1
2011-05,22423,REGENCY CAKESTAND 3 TIER,11503.6,996,2
2011-05,85123A,WHITE HANGING HEART T-LIGHT HOLDER,10700.42,3846,3
2011-05,23298,"BUNTING , SPOTTY ",7757.9,1682,4
2011-05,85099B,JUMBO BAG RED RETROSPOT,6585.2,3470,5
2011-05,23284,DOORMAT KEEP CALM AND COME IN,5678.65,867,6
2011-05,22501,PICNIC BASKET WICKER LARGE,5083.6,579,7
2011-05,84879,ASSORTED COLOUR BIRD ORNAMENT,4977.24,3036,8
2011-05,22197,SMALL POPCORN HOLDER,4971.7,6730,9
2011-05,23203,JUMBO BAG DOILEY PATTERNS,4569.2,2410,10
2011-06,22502,PICNIC BASKET WICKER 60 PIECES,40001.65,138,1
2011-06,47566,PARTY BUNTING,8266.15,1817,2
2011-06,22423,REGENCY CAKESTAND 3 TIER,8216.35,711,3
2011-06,23173,REGENCY TEAPOT ROSES ,6961.2,828,4
2011-06,85099B,JUMBO BAG RED RETROSPOT,6628.42,3529,5
2011-06,23245,SET OF 3 REGENCY CAKE TINS,6246.5,1430,6
2011-06,21137,BLACK RECORD COVER FRAME,5699.76,1672,7
2011-06,23298,"BUNTING , SPOTTY ",5101.6,1072,8
2011-06,23284,DOORMAT KEEP CALM AND COME IN,4639.0,816,9
2011-06,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4401.9,1618,10
2011-07,22423,REGENCY CAKESTAND 3 TIER,12174.0,1072,1
2011-07,47566,PARTY BUNTING,10311.15,2305,2
2011-07,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8295.12,2968,3
2011-07,23298,SPOTTY BUNTING,6362.4,1392,4
2011-07,85099B,JUMBO BAG RED RETROSPOT,5654.6,2970,5
2011-07,23245,SET OF 3 REGENCY CAKE TINS,5318.8,1176,6
2011-07,23173,REGENCY TEAPOT ROSES ,5244.0,624,7
2011-07,23203,JUMBO BAG DOILEY PATTERNS,4219.2,2145,8
2011-07,79321,CHILLI LIGHTS,3927.9,810,9
2011-07,23284,DOORMAT KEEP CALM AND COME IN,3719.4,524,10
2011-08,85099B,JUMBO BAG RED RETROSPOT,9697.44,5178,1
2011-08,84879,ASSORTED COLOUR BIRD ORNAMENT,9652.41,6417,2
2011-08,22423,REGENCY CAKESTAND 3 TIER,8921.7,774,3
2011-08,23203,JUMBO BAG DOILEY PATTERNS,7670.12,4064,4
2011-08,47566,PARTY BUNTING,6306.05,1379,5
2011-08,23298,SPOTTY BUNTING,6214.45,1351,6
2011-08,23199,JUMBO BAG APPLES,5781.32,3104,7
2011-08,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5498.1,2046,8
2011-08,23201,JUMBO BAG ALPHABET,4474.84,2368,9
2011-08,85099F,JUMBO BAG STRAWBERRY,3983.76,2147,10
2011-09,23243,SET OF TEA COFFEE SUGAR TINS PANTRY,9842.92,2056,1
2011-09,22423,REGENCY CAKESTAND 3 TIER,8570.13,730,2
2011-09,85099B,JUMBO BAG RED RETROSPOT,7987.85,4175,3
2011-09,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6777.2,2440,4
2011-09,23355,HOT WATER BOTTLE KEEP CALM,6081.9,1314,5
2011-09,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,5892.63,1205,6
2011-09,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,5733.91,2061,7
2011-09,23203,JUMBO BAG DOILEY PATTERNS,5377.12,2719,8
2011-09,22111,SCOTTIE DOG HOT WATER BOTTLE,5197.05,1079,9
2011-09,21181,PLEASE ONE PERSON METAL SIGN,4989.72,2512,10
2011-10,23084,RABBIT NIGHT LIGHT,11955.35,6249,1
2011-10,22423,REGENCY CAKESTAND 3 TIER,11895.15,1026,2
2011-10,23284,DOORMAT KEEP CALM AND COME IN,10997.87,1502,3
2011-10,85099B,JUMBO BAG RED RETROSPOT,9763.06,5237,4
2011-10,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,8845.64,3240,5
2011-10,22273,FELTCRAFT DOLL MOLLY,6123.7,2446,6
2011-10,23355,HOT WATER BOTTLE KEEP CALM,6041.55,1317,7
2011-10,22386,JUMBO BAG PINK POLKADOT,5669.84,3098,8
2011-10,20971,PINK BLUE FELT CRAFT TRINKET BOX,5276.42,4871,9
2011-10,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,4597.15,1681,10
2011-11,23084,RABBIT NIGHT LIGHT,23190.41,12352,1
2011-11,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,16109.51,5909,2
2011-11,85123A,WHITE HANGING HEART T-LIGHT HOLDER,13849.93,4859,3
2011-11,22423,REGENCY CAKESTAND 3 TIER,11038.74,942,4
2011-11,85099B,JUMBO BAG RED RETROSPOT,10711.91,5677,5
2011-11,79321,CHILLI LIGHTS,9792.83,1957,6
2011-11,23355,HOT WATER BOTTLE KEEP CALM,9435.75,2089,7
2011-11,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,8639.36,3176,8
2011-11,84879,ASSORTED COLOUR BIRD ORNAMENT,8193.55,5155,9
2011-11,21137,BLACK RECORD COVER FRAME,7458.48,2170,10
2011-12,23843,"PAPER CRAFT , LITTLE BIRDIE",168469.6,80995,1
2011-12,23084,RABBIT NIGHT LIGHT,6875.2,3684,2
2011-12,21137,BLACK RECORD COVER FRAME,4988.27,1464,3
2011-12,22423,REGENCY CAKESTAND 3 TIER,4532.28,391,4
2011-12,22413,METAL SIGN TAKE IT OR LEAVE IT ,3996.7,1450,5
2011-12,22197,POPCORN HOLDER,3992.2,5362,6
2011-12,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,3853.52,1392,7
2011-12,23582,VINTAGE DOILY JUMBO BAG RED ,3812.88,2086,8
2011-12,22727,ALARM CLOCK BAKELIKE RED ,3193.89,983,9
2011-12,23543,WALL ART KEEP CALM ,3045.6,724,10
